name,yahoo_ticker,isin,country,exchange,sector,enabled
Roularta,ROU.BR,BE0003741551,BE,EURONEXT,,true
Scheerders van Kerchove's Verenigde fabrieken nv,SCHD.BR,BE0012378593,BE,EURONEXT,,true
Sequana Medical NV,SEQUA.BR,BE0974340722,BE,EURONEXT,,true
Shurgard Self Storage SA,SHUR.BR,GG00BQZCBZ44,BE,EURONEXT,,true
Sipef NV,SIP.BR,BE0003898187,BE,EURONEXT,,true
Sofina Société Anonyme,SOF.BR,BE0003717312,BE,EURONEXT,,true
Softimat S.A.,SOFT.BR,BE0003773877,BE,EURONEXT,,true
Solvay SA,SOLB.BR,BE0003470755,BE,EURONEXT,,true
Solvac S.A.,SOLV.BR,BE0003545531,BE,EURONEXT,,true
Société de Services de Participations de Direction et d'Elaboration,SPA.BR,BE0003798155,BE,EURONEXT,,true
Syensqo,SYENS.BR,BE0974464977,BE,EURONEXT,,true
Tessenderlo,TESB.BR,BE0003555639,BE,EURONEXT,,true
Texaf SA,TEXF.BR,BE0974263924,BE,EURONEXT,,true
TINC Comm VA,TINC.BR,BE0974282148,BE,EURONEXT,,true
Titan Cement International SA,TITC.BR,BE0974338700,BE,EURONEXT,,true
Tubize-Fin,TUB.BR,BE0003823409,BE,EURONEXT,,true
UCB SA,UCB.BR,BE0003739530,BE,EURONEXT,,true
Umicore S.A.,UMI.BR,BE0974320526,BE,EURONEXT,,true
Van de Velde NV,VAN.BR,BE0003839561,BE,EURONEXT,,true
Vastned Retail Belgium,VASTB.BR,BE0003754687,BE,EURONEXT,,true
VGP NV,VGP.BR,BE0003878957,BE,EURONEXT,,true
Viohalco S.A,VIO.BR,BE0974271034,BE,EURONEXT,,true
Warehouses de Pauw Comm VA,WDP.BR,BE0974349814,BE,EURONEXT,,true
Warehouses Estates Belgium SCA,WEB.BR,BE0003734481,BE,EURONEXT,,true
Wereldhav B-Sicafi,WEHB.BR,BE0003724383,BE,EURONEXT,,true
What's Cooking Group NV/SA,WHATS.BR,BE0003573814,BE,EURONEXT,,true
Xior Student Housing NV,XIOR.BR,BE0974288202,BE,EURONEXT,,true
Immo-Zenobe Gramme SA,ZEN.BR,BE0003809267,BE,EURONEXT,,true
ABB Ltd,ABBN.SW,CH0012221716,CH,SIX,,true
Accelleron Industries AG,ACLN.SW,CH1169360919,CH,SIX,,true
CoinShares Physical Staked Cardano,ADAS.SW,,CH,SIX,,true
Adecco Group AG Class N,ADEN.SW,CH0012138605,CH,SIX,,true
Adval Tech Holding AG,ADVN.SW,CH0008967926,CH,SIX,,true
Addex Therapeutics Ltd,ADXN.SW,CH0029850754,CH,SIX,,true
Montana Aerospace AG,AERO.SW,CH1110425654,CH,SIX,,true
